Bar,Rating,Street,Number,Website
The Beehive,8,541 Tremont St., 617-423-0069,beehiveboston.com
The Bristol Lounge,7,200 Boylston St., 617-338-4400,fourseasons.com
Chez Henri,7,One Shepard St.,617-354-8980,chezhenri.com
Citizen Public House and Oyster Bar,4,1310 Boylston St., 617-450-9000,citizenpub.com
City Bar,6,61 Exeter St., 617-933-4800,citybarboston.com
Clio,9,370 Commonwealth Ave.,617-536-7200,cliorestaurant.com
Craigie on Main,5,853 Main St.,617-497-5511,craigieonmain.com
Cuchi Cuchi,7,795 Main St.,617-864-2929,cuchicuchi.cc
Drink,7,348 Congress St., 617-695-1806,drinkfortpoint.com
East Coast Grill,7,1271 Cambridge St.,617-491-6568,eastcoastgrill.net
Eastern Standard,9,528 Commonwealth Ave., 617-532-9100,easternstandardboston.com
The Franklin CafE,6,278 Shawmut Ave., 617-350-0010,franklincafe.com
Green Street Grill,6,280 Green St., 617-876-1655,greenstreetgrill.com
Highland Kitchen,4,150 Highland Ave.,617-625-1131,highlandkitchen.com
Locke-Ober,6,3 Winter Place, 617-542-1340,lockeober.com
Lucca,5,226 Hanover St., 617-742-9200,luccaboston.com
Masa,7,439 Tremont St., 617-338-8884,masarestaurant.com
Mr. Dooley's,9,77 Broad St., 617-338-5656,mrdooleys.com
Noir,8,One Bennett St., 617-661-8010,noir-bar.com
The Oak Bar,7,138 St. James Ave., 617-267-5300,theoakroom.com
Pigalle,8,75 Charles St. S., 617-423-4944,pigalleboston.com
River Gods,8,125 River St.,617-576-1881,rivergodsonline.com
RumBa,7,510 Atlantic Ave., 617-217-5152,intercontinentalboston.com
Stoddard's,8,48 Temple Place, 617-426-0048,stoddardsfoodandale.com
Sunset Cantina,4,916 Commonwealth Ave.,617-731-8646,allstonsfinest.com
Temple Bar,6,1688 Massachusetts Ave.,617-547-5055,templebarcambridge.com
Toro,7,1704 Washington St., 617-536-4300,toro-restaurant.com
UpStairs on the Square,9,91 Winthrop St., 617-864-1933,upstairsonthesquare.com
W Lounge,9,100 Stuart St., 617-912-3355,whotels.com
Woodward,8,One Court St., 617-979-8200,woodwardatames.com
